Hotel Name									,Rating,Rating Corrigido,Rating Manipulável,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Preço Corrigido,Tax,Taxa Corrigida,Preço em R$,,Taxa em R$
Gokulam Park,4.1,"4,1","4,1",Very Good,1058,4,Chithirapuram,city centre,10.2 km,"2,728",2728,574,574,"R$163,92","R$163,25","R$34,49"
Sterling Munnar,3.8,"3,8","3,8",Very Good,1088,4,Chinnakanal,city centre,19.2 km,"4,451",4451,969,969,"R$267,46","R$266,36","R$58,23"
Issacs Residency,4.1,"4,1","4,1",Very Good,322,3,Central Munnar,Attukal Waterfalls,950 m,"2,758",2758,684,684,"R$165,73","R$165,04","R$41,10"
Tea Valley Resort,4.3,"4,3","4,3",Excellent,1337,4,Pallivasal,city centre,4.8 km,"2,675",2675,756,756,"R$160,74","R$160,08","R$45,43"
Grand Plaza,4.3,"4,3","4,3",Excellent,1058,4,Moolakadai,Attukal Waterfalls,1.9 km,"3,203",3203,654,654,"R$192,47","R$191,67","R$39,30"
Misty Mountain Resort,4.2,"4,2","4,2",Very Good,1934,4,Pallivasal,city centre,7.5 km,"3,145",3145,848,848,"R$188,98","R$188,20","R$50,96"
Eastend Munnar,3.9,"3,9","3,9",Very Good,437,4,Central Munnar,Attukal Waterfalls,770 m,"3,493",3493,713,713,"R$209,89","R$209,03","R$42,84"
Seven Springs Plantation Resort,3.7,"3,7","3,7",Very Good,6,3,Laxmi Estate,city centre,12.3 km,"2,255",2255,554,554,"R$135,50","R$134,94","R$33,29"
Clouds Valley Leisure Hotel,4,4,4,Very Good,599,4,Near Munnar Bus Stand,Attukal Waterfalls,2.2 km,"2,595",2595,530,530,"R$155,93","R$155,29","R$31,85"
Broad Bean Resort & Spa,4.1,"4,1","4,1",Very Good,249,5,Muthirapuzhayar Road,city centre,13.1 km,"5,583",5583,"1,141",1141,"R$335,48","R$334,10","R$68,56"
